INVST_PLAN_ARR_SEQ_NUM,SEQ_DISP_NUM,CTRY_INVST_ACCT_CDE,GRP_MEMBR_INVST_ACCT_CDE,ACCT_INVST_NUM,ENGMT_STYLE_CDE,INVST_PLAN_NUM,INVST_PLAN_STAT_CDE,PDCY_INVST_CDE,PLAN_INSTR_NEXT_TM,PLAN_INSTR_NEXT_DT,CCY_INVST_REG_CDE,INVST_REG_AMT,CCY_INVST_ACCUM_CDE,INVST_ACCUM_AMT,CNTRB_SUCS_TTL_CNT,CNTRB_LAST_DT_TM,MDUN_SYS_CDE,LAST_INGESTION_TIMESTAMP,PRM_LNE_OF_BUS_CDE_FILTER,CTRY_CDE_FILTER,ENTITY_CDE_FILTER
17894562166,478945799,7878512,78944785617,105239,152367,45781935741, qydt127 ,6354078, Current_timestamp  ,  2022-03-14 ,450000,56700,8954,7894000,5795400,  Current_timestamp  ,  system4579 , current_timestamp  ,  147uc47 , SAP10327T ,  57SAT1
17894562789,478979799,7890512,78947895257,105439,157367,459842000000, qydt194 ,6284078, Current_timestamp  ,  2022-03-14 ,420000,55500,7554,7407800,5798700,  Current_timestamp  ,  system4479 , current_timestamp  ,  147mc47 ,  SAP10329T ,  57SAP1
17894568956,478945799,7878512,78925785614,105899,154967,457819000000, qydt177 ,6358078, Current_timestamp  ,  2022-03-14 ,470000,56000,8954,7894000,5778400,  Current_timestamp  ,  system4579 , current_timestamp  ,  147kc47 , SAP10387T ,  57SIT1
17894564766,478945790,7878512,78944595625,105275,157867,457819000000, qydt725 ,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798700,  Current_timestamp  ,  system4579 , current_timestamp  ,  147hc47 , SAP10527T ,  57SAN1
17894564767,478945791,7878513,78944595626,105276,157868,457819000001, qydt726,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798701,  Current_timestamp  ,  system4580, current_timestamp  ,  147hc48, SAP10527T ,  57SAN2
17894564768,478945792,7878514,78944595627,105277,157869,457819000002, qydt727,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798702,  Current_timestamp  ,  system4581, current_timestamp  ,  147hc49, SAP10527T ,  57SAN3
17894564769,478945793,7878515,78944595628,105278,157870,457819000003, qydt728,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798703,  Current_timestamp  ,  system4582, current_timestamp  ,  147hc50, SAP10527T ,  57SAN4
17894564770,478945794,7878516,78944595629,105279,157871,457819000004, qydt729,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798704,  Current_timestamp  ,  system4583, current_timestamp  ,  147hc51, SAP10527T ,  57SAN5
17894564771,478945795,7878517,78944595630,105280,157872,457819000005, qydt730,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798705,  Current_timestamp  ,  system4584, current_timestamp  ,  147hc52, SAP10527T ,  57SAN6
17894564772,478945796,7878518,78944595631,105281,157873,457819000006, qydt731,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798706,  Current_timestamp  ,  system4585, current_timestamp  ,  147hc53, SAP10527T ,  57SAN7
